CustomerID,Week,Day,Company,Address,Delivery Fee,Phone,Notes,Email,Location,,,Active
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true
23e2bdae,None,None,TD Bank - Aramark,1040 102nd Avenue  Dawson Creek  BC V1G 4H4,,,,,,,,,true